"number","DrinkName","idDrink","Alcoholic","Category","DrinkImage","Glass","Instructions","Ingredient1","Measure1","Ingredient2","Measure2","Ingredient3","Measure3","Ingredient4","Measure4","Ingredient5","Measure5","Ingredient6","Measure6","Ingredient7","Measure7","Ingredient8","Measure8","Ingredient9","Measure9","Ingredient10","Measure10"
"78","Amaretto Sour","13731","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg","Collins glass","Shake and strain. Garnish with a cherry and an orange slice.","Amaretto","45","Sour mix","90","","","","","","","","","","","","","","","",""
"117","Aviation","17180","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg","Cocktail glass","Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.","Gin","45","Lemon juice","15","Maraschino liqueur","15","","","","","","","","","","","","","",""
"123","Bacardi Cocktail","17183","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg","Cocktail glass","Shake together with ice. Strain into glass and serve.","Light rum","50","Lime juice","30","Sugar syrup","3","Grenadine","1","","","","","","","","","","","",""
"167","Brandy Alexander","11016","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg","Cocktail glass","Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.","Brandy","30","Creme de Cacao","30","Light cream","30","Nutmeg","","","","","","","","","","","","",""
"206","Cosmopolitan","17196","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg","Cocktail glass","Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.","Absolut Citron","37","Lime juice","7","Cointreau","5","Cranberry juice","60","","","","","","","","","","","",""
"214","Daiquiri","11291","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/usuuur1439906797.jpg","Cocktail glass","Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.","Light rum","45","Lime juice","5","Powdered sugar","5","","","","","","","","","","","","","",""
"236","Espresso Martini","17212","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg","Cocktail glass","""Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass""","Sugar syrup","2","Vodka","50","Kahlua","10","","","","","","","","","","","","","",""
"247","French 75","17197","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/4qnyty1504368615.jpg","Collins glass","""Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.""","Gin","45","Sugar","10","Lemon juice","45","Champagne","120","Orange","1","Maraschino cherry","1","","","","","","","",""
"323","Kamikaze","11600","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg","Cocktail glass","""Shake all ingredients together with ice. Strain into glass, garnish and serve.""","Vodka","30","Triple sec","30","Lime juice","30","","","","","","","","","","","","","",""
"358","Mai Tai","11690","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg","Collins glass","Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.","Light rum","30","Orgeat syrup","15","Triple sec","15","Sweet and sour","45","Cherry","1","","","","","","","","","",""
"361","Manhattan","13839","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg","Cocktail glass","""Stirred over ice, strained into a chilled glass, garnished, and served up.""","Sweet Vermouth","20","Angostura bitters","1","Bourbon","75","Ice","3","Maraschino cherry","1","Orange peel","1","","","","","","","",""
"363","Martinez Cocktail","11720","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg","Cocktail glass","Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.","Gin","30","Dry Vermouth","30","Triple sec","1","Orange bitters","1","Cherry","1","","","","","","","","","",""
"364","Martini","11728","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg","Cocktail glass","""Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.""","Gin","50","Dry Vermouth","10","Olive","1","","","","","","","","","","","","","",""
"402","Pina Colada","17207","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg","Collins glass","""Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.""","Light rum","90","Coconut milk","45","Pineapple juice","45","","","","","","","","","","","","","",""
"408","Pisco Sour","13214","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/tsssur1439907622.jpg","Cocktail glass","""Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]""","Pisco","60","Lemon juice","30","Sugar","25","Ice","","","","","","","","","","","","",""
"465","Sidecar","12196","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg","Cocktail glass","Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.","Cognac","60","Cointreau","15","Lemon juice","30","","","","","","","","","","","","","",""
"505","Tom Collins","12402","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg","Collins glass","""In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.""","Gin","60","Lemon juice","30","Sugar","5","Club soda","90","Maraschino cherry","1","Orange","1","","","","","","","",""
"515","Vesper","17218","Alcoholic","Cocktail","http://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg","Cocktail glass","""Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.""","Gin","60","Vodka","15","Lillet Blanc","7","","","","","","","","","","","","","",""
"522","Vodka Martini","14167","Alcoholic","Ordinary Drink","http://www.thecocktaildb.com/images/media/drink/qyxrqw1439906528.jpg","Cocktail glass","""Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.""","Vodka","45","Dry Vermouth","20","Olive","1","","","","","","","","","","","","","",""
